lat	lon	title	description
54.7	-113.3	3060L20	ATHABASCA, AB (1689.63 ft)
51.20	-115.55	3050519	BANFF, AB (4583.33 ft)
55.20	-119.40	3070600	BEAVERLODGE, AB (2444.23 ft)
51.1	-114.0	3031093	CALGARY, AB (3556.43 ft)
53.28	-113.85	3011120	CALMAR, AB (2362.2 ft)
54.1	-114.7	3061200	CAMPSIE, AB (2201.44 ft)
53.0	-112.8	3011240	CAMROSE, AB (2424.54 ft)
49.00	-113.37	3031400	CARWAY, AB (4442.26 ft)
49.9	-113.7	3031F5F	CLARESHOLM MEADOW CREEK, AB (3395.67 ft)
54.4	-110.3	3081680	COLD LAKE, AB (1774.93 ft)
52.08	-111.45	3011887	CORONATION, AB (2595.14 ft)
49.6	-114.5	3051R4R	CROWSNEST, AB (4274.93 ft)
51.5	-112.9	3022136	DRUMHELLER ANDREW, AB (2358.92 ft)
53.3	-113.6	3012205	EDMONON, AB (2372.05 ft)
53.58	-116.47	3062246	EDSON, AB (3041.34 ft)
53.9	-111.1	3012280	ELK POINT, AB (1984.91 ft)
55.4	-116.3	3062427	ENILDA-BERG, AB (1938.98 ft)
53.37	-117.70	306A009	ENTRANCE, AB (3251.31 ft)
56.07	-118.38	3072525	FAIRVIEW, AB (2148.95 ft)
56.1	-118.5	3072539	FAIRVIEW THREE FOX FARM, AB (1981.63 ft)
58.8	-111.1	3072658	FORT CHIPEWYAN, AB (761.155 ft)
58.77	-111.12	3072662	FORT CHIPEWYAN, AB (780.84 ft)
56.7	-111.2	3062693	FORT MCMURRAY, AB (1210.63 ft)
56.65	-111.22	3062696	FORT MCMURRAY, AB (1210.63 ft)
58.38	-116.03	3072723	FORT VERMILION, AB (948.163 ft)
50.9	-113.1	3032800	GLEICHEN, AB (2969.16 ft)
50.88	-113.05	3032801	GLEICHEN, AB (2969.16 ft)
55.18	-118.88	3072920	GRANDE PRAIRIE, AB (2194.88 ft)
55.40	-116.48	3063165	HIGH PRAIRIE, AB (1975.07 ft)
50.48	-114.17	3033250	HIGH RIVER, AB (5183.73 ft)
50.6	-114.4	3053250	HIGHWOOD, AB (5183.73 ft)
52.93	-118.03	3053536	JASPER, AB (3346.46 ft)
50.7	-111.2	3023560	JENNER, AB (2477.03 ft)
57.75	-117.62	3073641	KEG RIVER, AB (1328.74 ft)
52.45	-113.75	3023722	LACOMBE, AB (2821.52 ft)
49.6	-112.8	3033880	LETHBRIDGE, AB (3047.9 ft)
