406QLD0,URANIUM CITY (AUT)       ,SK  ,station joined    , Monthly total of daily adjusted precipitation, mm, Updated to December 2010
406QLD0,URANIUM CITY (AUT)       ,SK  ,station jointe    , Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1953,    10.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.3, ,    26.9, ,    30.0, ,    56.2, ,    21.7, ,    12.5, ,   102.1, , -9999.9,M, -9999.9,M, -9999.9,M,    70.2, ,    90.4, ,
1954,    13.1, ,    18.9, ,     7.0, ,    16.6, ,     8.3, ,     0.3, ,    39.6, ,    16.6, ,    13.5, ,     2.3, ,    45.1, ,    63.7, ,   245.0, ,   134.1, ,    32.0, ,    56.5, ,    60.9, ,
1955,    23.8, ,    62.1, ,    13.5, ,    14.9, ,    10.6, ,    23.0, ,    52.1, ,    20.5, ,    25.5, ,    28.5, ,    52.5, ,    18.4, ,   345.3, ,   149.7, ,    39.0, ,    95.5, ,   106.5, ,
1956,    25.6, ,    22.6, ,     7.1, ,     5.1, ,    14.8, ,    46.2, ,    38.5, ,    47.0, ,    43.8, ,    36.5, ,    21.7, ,    36.3, ,   345.2, ,    66.6, ,    27.0, ,   131.7, ,   102.0, ,
1957,    10.9, ,    12.5, ,     8.4, ,     5.9, ,     2.7, ,     6.8, ,    68.5, ,    11.8, ,    27.8, ,     4.2, ,    20.8, , -9999.9,M, -9999.9,M,    59.8, ,    17.0, ,    87.2, ,    52.8, ,
1958,    16.1, ,     4.8, ,    40.1, ,    17.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,
1959, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,
1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,
1961, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,
1962, -9999.9,M, -9999.9,M,    12.4, ,     4.6, ,    10.2, ,    70.2, ,    63.0, ,   126.1, ,    19.3, ,    42.1, ,    36.8, ,    22.1, , -9999.9,M, -9999.9,M,    27.2, ,   259.4, ,    98.2, ,
1963,    40.1, ,    11.4, ,    25.6, ,     8.6, ,     4.7, ,    32.7, ,   112.2, ,    22.8, ,    93.7, ,    21.6, ,    56.5, ,    17.6, ,   447.4, ,    73.6, ,    38.8, ,   167.7, ,   171.8, ,
1964,    17.6, ,    18.3, ,    11.6, ,    20.0, ,    27.4, ,    20.8, ,    28.3, ,    82.2, ,    58.0, ,    49.1, ,    28.1, ,    13.3, ,   374.6, ,    53.5, ,    59.0, ,   131.3, ,   135.2, ,
1965,    19.1, ,    23.0, ,    10.7, ,     7.4, ,    10.0, ,   113.5, ,    49.2, ,    73.6, ,    23.3, ,    51.0, ,    48.4, ,    39.4, ,   468.4, ,    55.3, ,    28.0, ,   236.3, ,   122.7, ,
1966,    43.5, ,    22.4, ,    22.9, ,    20.3, ,    51.0, ,    48.0, ,    72.3, ,    97.5, ,    19.6, ,    70.2, ,    37.1, ,    51.3, ,   556.0, ,   105.3, ,    94.2, ,   217.8, ,   126.9, ,
1967,    32.0, ,    33.9, ,    28.1, ,    32.8, ,    21.6, ,    38.4, ,    49.5, ,    32.3, ,    32.5, ,    50.7, ,    57.7, ,    28.8, ,   438.2, ,   117.2, ,    82.5, ,   120.2, ,   140.9, ,
1968,    53.6, ,    24.2, ,    30.2, ,    12.8, ,    23.5, ,    41.1, ,    74.1, ,    19.1, ,    86.3, ,    27.9, ,    54.8, ,    25.5, ,   472.9, ,   106.6, ,    66.5, ,   134.2, ,   168.9, ,
1969,    32.7, ,    25.0, ,    12.1, ,    34.0, ,    35.7, ,    57.3, ,    33.6, ,    56.7, ,    37.3, ,    13.0, ,    28.5, ,    26.4, ,   392.2, ,    83.2, ,    81.8, ,   147.6, ,    78.8, ,
1970,    31.6, ,    37.8, ,    30.6, ,    21.5, ,    25.3, ,    40.9, ,    32.0, ,    76.8, ,    34.6, ,    57.3, ,    23.2, ,    32.0, ,   443.6, ,    95.9, ,    77.4, ,   149.7, ,   115.0, ,
1971,    31.4, ,    23.8, ,    35.4, ,    10.1, ,    13.5, ,    24.7, ,     9.8, ,    39.2, ,    34.0, ,    38.5, ,    81.5, ,    20.8, ,   362.6, ,    87.1, ,    58.9, ,    73.8, ,   154.0, ,
1972,    32.3, ,    24.1, ,    23.7, ,    90.7, ,    18.8, ,    39.4, ,    40.6, ,    33.9, ,    38.6, ,    26.3, ,    38.9, ,    29.4, ,   436.6, ,    77.2, ,   133.1, ,   113.9, ,   103.7, ,
1973,    27.3, ,     7.3, ,    37.7, ,    17.1, ,     6.8, ,    17.3, ,    58.6, ,    83.4, ,    36.1, ,    52.7, ,    92.5, ,    49.5, ,   486.0, ,    63.9, ,    61.5, ,   159.2, ,   181.3, ,
1974,    29.5, ,    45.0, ,    37.3, ,    24.7, ,    26.9, ,    47.9, ,   103.6, ,    69.2, ,    45.8, ,    27.6, ,    33.7, ,    84.9, ,   576.0, ,   124.0, ,    88.8, ,   220.7, ,   107.2, ,
1975,    34.5, ,    24.7, ,    13.0, ,    40.9, ,    25.7, ,    24.5, ,    33.7, ,    85.6, ,    19.6, ,    94.7, ,    72.1, ,    36.9, ,   505.7, ,   144.1, ,    79.5, ,   143.7, ,   186.3, ,
1976,    40.5, ,    50.2, ,    23.3, ,     9.0, ,    49.0, ,    64.6, ,    83.7, ,    29.8, ,    49.5, ,    31.8, ,    44.6, ,    37.7, ,   513.7, ,   127.7, ,    81.3, ,   178.1, ,   125.8, ,
1977,    18.8, ,    20.4, ,    14.8, ,     4.4, ,    48.0, ,    61.1, ,    57.5, ,    89.2, ,    44.9, ,    34.9, ,    28.2, ,    35.4, ,   457.7, ,    76.9, ,    67.2, ,   207.9, ,   108.1, ,
1978,    12.9, ,     4.2, ,    38.5, ,    31.3, ,    32.0, ,    23.5, ,    54.4, ,    25.3, ,    63.9, ,    35.8, ,    14.1, ,    26.5, ,   362.3, ,    52.4, ,   101.7, ,   103.2, ,   113.8, ,
1979,    13.6, ,    14.0, ,    33.5, ,    40.6, ,     7.1, ,    28.4, ,    57.4, ,    40.9, ,    50.6, , -9999.9,M, -9999.9,M,    40.4, , -9999.9,M,    54.0, ,    81.1, ,   126.6, , -9999.9,M,
1980,    38.5, ,    10.0, ,    14.1, ,     1.9, ,    33.1, ,    17.1, ,    10.1, ,    43.9, ,    21.3, ,     8.9, ,    36.6, ,    27.2, ,   262.6, ,    88.9, ,    49.0, ,    71.1, ,    66.8, ,
1981,    34.0, ,    29.8, ,    33.6, ,    33.5, ,    10.0, ,    50.8, ,    80.0, ,    33.5, ,    23.6, ,    39.6, ,    28.8, ,    60.7, ,   458.0, ,    90.9, ,    77.1, ,   164.4, ,    92.0, ,
1982,     8.3, ,    22.6, ,    15.3, ,    21.9, ,    54.6, ,    40.9, ,    80.0, ,    41.1, ,    61.5, ,    29.3, ,    38.4, ,    52.8, ,   466.8, ,    91.7, ,    91.8, ,   162.0, ,   129.2, ,
1983,    50.8, ,    25.6, ,    30.6, ,    11.9, ,    21.1, ,    28.7, , -9999.9,M, -9999.9,M,    51.8, ,    43.1, ,    16.7, , -9999.9,M, -9999.9,M,   129.2, ,    63.6, , -9999.9,M,   111.6, ,
